iter	Passed	Remaining
0	1	192
1	3	172
2	5	165
3	6	152
4	7	147
5	9	143
6	10	141
7	12	139
8	13	138
9	15	136
10	16	136
11	18	134
12	19	133
13	21	131
14	23	130
15	24	128
16	25	126
17	27	125
18	28	123
19	30	121
20	31	119
21	33	117
22	34	115
23	35	113
24	37	111
25	38	109
26	39	107
27	41	106
28	42	104
29	44	102
30	45	101
31	47	100
32	48	99
33	50	98
34	52	96
35	53	95
36	55	93
37	56	92
38	57	90
39	59	89
40	60	87
41	61	84
42	62	83
43	64	82
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	68
53	79	67
54	80	65
55	81	63
56	82	62
57	84	61
58	86	59
59	87	58
60	89	56
61	90	55
62	92	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	38
74	110	36
75	111	35
76	113	33
77	114	32
78	116	30
79	117	29
80	119	27
81	120	26
82	122	25
83	123	23
84	125	22
85	126	20
86	128	19
87	130	17
88	132	16
89	134	14
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	142	5
96	144	4
97	145	2
98	147	1
99	148	0
